image,gt_chars,extra_dets
ScreenShot2024_0320_033229668,1,0
ScreenShot2024_0320_033418937,1,0
ScreenShot2024_0320_034737748,1,0
ScreenShot2024_0320_035357249,0,0
ScreenShot2024_0320_035443640,1,0
ScreenShot2024_0320_043020620,1,0
ScreenShot2024_0320_043158136,1,0
ScreenShot2024_0320_044025994,1,0
ScreenShot2024_0320_044245664,1,0
ScreenShot2024_0320_140949960,1,0
ScreenShot2024_0320_141050457,2,0
ScreenShot2024_0320_141305854,0,0
ScreenShot2024_0320_143141201,1,0
ScreenShot2024_0320_143207034,1,0
ScreenShot2024_0320_160700372,1,0
ScreenShot2024_0320_160718972,1,0
ScreenShot2024_0320_160754036,1,0
ScreenShot2024_0320_161027925,1,0
ScreenShot2024_0320_161045760,1,0
ScreenShot2024_0320_161436175,1,0
ScreenShot2024_0320_161536724,1,0
ScreenShot2024_0320_161607308,1,0
ScreenShot2024_0320_161926660,1,0
ScreenShot2024_0320_162156444,1,0
ScreenShot2024_0320_162252791,1,0
ScreenShot2024_0320_162819681,1,0
ScreenShot2024_0320_163006816,1,0
ScreenShot2024_0320_164002114,1,0
ScreenShot2024_0320_165835154,1,0
ScreenShot2024_0320_180803993,0,0
ScreenShot2024_0320_183801194,1,0
ScreenShot2024_0320_185518411,1,0
ScreenShot2024_0320_185754494,1,0
ScreenShot2024_0320_200734915,1,0
ScreenShot2024_0320_200915262,0,0
ScreenShot2024_0320_201159791,0,0
ScreenShot2024_0320_201321321,0,0
ScreenShot2024_0321_191903302,1,0
ScreenShot2024_0321_192821775,1,0
ScreenShot2024_0321_193515581,0,0
ScreenShot2024_0321_195030431,0,0
ScreenShot2024_0321_195110899,1,0
ScreenShot2024_0321_195206032,1,0
ScreenShot2024_0321_195423066,1,0
ScreenShot2024_0321_200001733,1,0
ScreenShot2024_0321_200414218,1,0
ScreenShot2024_0321_201141712,1,0
ScreenShot2024_0321_201429248,1,0
ScreenShot2024_0321_201702926,1,0
ScreenShot2024_0321_201858077,0,0
ScreenShot2024_0321_202044393,1,0
ScreenShot2024_0321_202119660,1,0
ScreenShot2024_0321_202151658,1,0
ScreenShot2024_0321_203956062,1,0
ScreenShot2024_0321_204729019,1,0
ScreenShot2024_0321_205758499,1,0
ScreenShot2024_0321_210051007,1,0
ScreenShot2024_0321_210120559,1,0
ScreenShot2024_0321_210303909,1,0
ScreenShot2024_0321_215405832,1,0
ScreenShot2024_0712_002034157,1,0
ScreenShot2024_0713_024453296,1,0
ScreenShot2024_0713_025527592,1,0
ScreenShot2024_0713_030125785,1,0
ScreenShot2024_0716_215936563,1,0
ScreenShot2024_0716_215947929,1,0
ScreenShot2024_0716_220216332,1,0
ScreenShot2024_0716_220325942,1,0
ScreenShot2024_0716_220620870,1,0
ScreenShot2024_0716_220644727,1,0
ScreenShot2024_0716_221417287,1,0
ScreenShot2024_0716_221629292,1,0
ScreenShot2024_0716_221840070,1,0
ScreenShot2024_0716_222209723,1,0
ScreenShot2024_0728_002656939,1,0
ScreenShot2024_0728_002849229,1,0
ScreenShot2024_0728_003633374,1,0
ScreenShot2024_0728_003914589,1,0
ScreenShot2024_0728_003932593,1,0
ScreenShot2024_0728_003950274,1,0
ScreenShot2024_0728_004340955,1,0
ScreenShot2024_0728_004937725,1,0
ScreenShot2024_0802_005616315,1,0
ScreenShot2024_0802_005841550,1,0
ScreenShot2024_0802_010644861,1,0
ScreenShot2024_0802_010810429,1,0
ScreenShot2024_0802_010822415,1,0
ScreenShot2024_0806_230049907,1,0
ScreenShot2024_0806_231853891,1,0
ScreenShot2024_0807_001616847,1,0
ScreenShot2024_0809_002618068,1,0
ScreenShot2024_0809_003211472,1,0
ScreenShot2024_0809_003245920,1,0
ScreenShot2024_0809_012818227,0,0
ScreenShot2024_0809_014047681,1,0
ScreenShot2024_0809_014128123,1,0
